Geneid,UHR_Rep1,UHR_Rep2,UHR_Rep3,HBR_Rep1,HBR_Rep2,HBR_Rep3
ENSG00000272694,0,1,0,0,0,0
ENSG00000100060,147,57,93,8,10,12
ENSG00000100065,186,137,143,4,9,10
ENSG00000225867,0,0,0,2,1,0
ENSG00000128283,286,157,251,133,200,128
ENSG00000100079,4,2,2,0,0,0
ENSG00000273866,0,1,0,0,0,0
ENSG00000100083,593,377,430,223,292,242
ENSG00000100092,166,93,115,41,33,40
ENSG00000233360,8,2,2,0,0,0
ENSG00000241360,2,2,2,6,12,10
ENSG00000241333,0,0,0,0,2,0
ENSG00000100097,1430,877,1219,150,179,152
ENSG00000273899,53,28,36,17,19,26
ENSG00000100106,406,246,320,81,58,61
ENSG00000189060,502,325,372,208,290,219
ENSG00000100116,147,107,104,68,54,63
ENSG00000128310,0,2,0,1,0,2
ENSG00000100124,183,96,153,61,98,104
ENSG00000207696,1,0,0,0,0,0
ENSG00000100129,1373,887,1184,380,438,400
ENSG00000279738,90,59,40,23,46,27
ENSG00000100139,294,190,228,101,125,123
ENSG00000278948,53,45,40,22,58,25
ENSG00000128346,8,4,8,8,2,0
ENSG00000279010,173,130,123,268,305,244
ENSG00000100142,24,15,14,27,56,30
ENSG00000100146,237,151,182,184,271,232
ENSG00000222044,0,6,0,0,0,0
ENSG00000273214,0,2,0,0,0,2
ENSG00000100151,95,67,118,167,162,167
ENSG00000100156,0,2,0,2,6,3
ENSG00000128298,25,11,14,2,20,7
ENSG00000272720,7,4,2,20,4,6
ENSG00000184381,201,118,130,146,140,162
ENSG00000279080,0,10,0,0,0,0
ENSG00000185022,188,116,134,59,50,38
ENSG00000198792,387,287,341,415,480,435
ENSG00000213923,1156,664,877,460,450,431
ENSG00000244627,52,43,42,19,23,17
ENSG00000229955,9,6,4,3,0,2
ENSG00000168135,4,0,6,130,162,116
ENSG00000100196,171,166,154,4,4,2
ENSG00000100201,5605,3605,4471,3061,3586,3258
ENSG00000100206,28,21,16,4,7,0
ENSG00000224279,0,0,0,2,0,0
ENSG00000184949,78,83,42,31,20,32
ENSG00000100211,68,46,76,31,49,43
ENSG00000230912,0,2,1,0,0,0
ENSG00000228274,13,16,11,12,12,12
ENSG00000100216,353,218,309,104,134,102
ENSG00000100221,506,400,413,287,311,260
ENSG00000100226,667,354,489,283,363,279
ENSG00000100242,706,393,632,829,1071,907
ENSG00000244491,4,7,1,0,0,2
ENSG00000230149,11,2,2,0,0,0
ENSG00000273096,1,2,2,1,1,2
ENSG00000225450,6,1,7,0,0,0
ENSG00000272669,8,16,14,2,0,0
ENSG00000273076,4,0,4,0,0,0
ENSG00000100246,88,34,52,37,85,66
ENSG00000221890,137,118,99,777,889,787
ENSG00000183741,721,472,599,1476,1750,1664
ENSG00000179750,44,39,29,2,0,0
ENSG00000244509,157,89,115,7,6,6
ENSG00000243811,29,13,17,2,2,4
ENSG00000128394,20,11,13,2,1,0
ENSG00000239713,77,48,44,8,8,6
ENSG00000100307,51,50,55,532,721,610
ENSG00000279833,0,1,0,0,0,0
ENSG00000100311,78,50,84,62,82,55
ENSG00000224794,0,0,1,0,0,0
ENSG00000100316,8001,4786,6065,1311,1512,1436
ENSG00000209482,7,7,3,3,0,0
ENSG00000100321,107,95,83,1520,1988,1728
ENSG00000280216,0,0,0,2,4,4
ENSG00000100324,161,138,170,196,174,137
ENSG00000128268,66,28,46,512,652,547
ENSG00000227188,0,1,0,0,0,0
ENSG00000100335,613,323,402,186,237,225
ENSG00000128272,2705,1637,2129,575,710,611
ENSG00000187051,256,188,190,139,176,140
ENSG00000100346,4,5,0,207,270,266
ENSG00000176177,4,0,6,0,0,0
ENSG00000226085,8,16,8,2,10,12
ENSG00000100351,124,88,88,2,0,2
ENSG00000225528,16,2,14,0,0,0
ENSG00000133477,56,38,26,0,2,12
ENSG00000261202,0,0,4,0,6,0
ENSG00000100354,1038,638,805,1157,1356,1170
ENSG00000239900,697,411,487,91,102,99
ENSG00000100359,360,210,313,247,313,256
ENSG00000229999,0,1,0,0,0,0
ENSG00000196588,251,147,182,265,257,195
ENSG00000272834,0,0,2,0,0,0
ENSG00000232564,0,0,2,0,0,0
ENSG00000230071,16,8,22,2,4,2
ENSG00000231907,0,2,0,0,2,0
ENSG00000128285,0,6,2,24,42,34
ENSG00000100372,235,187,232,73,78,80
ENSG00000230769,10,2,1,2,2,6
ENSG00000266594,2,0,1,0,0,0
ENSG00000100380,1767,1268,1524,767,947,916
ENSG00000196236,313,223,255,62,91,78
ENSG00000273979,0,0,4,0,0,0
ENSG00000200683,0,0,2,0,0,0
ENSG00000100387,250,151,174,99,139,114
ENSG00000100393,1152,659,824,623,811,822
ENSG00000252859,0,2,0,0,0,0
ENSG00000232754,1,1,0,0,1,0
ENSG00000215771,0,0,0,0,2,0
ENSG00000100395,293,220,202,183,219,171
ENSG00000235513,2,2,6,13,16,17
ENSG00000100399,2,2,2,72,81,83
ENSG00000100401,908,578,764,503,625,516
ENSG00000100403,902,567,748,833,1060,951
ENSG00000167074,86,67,56,668,767,681
